date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2022-06-14,XAUUSD,-3760,16910,1636,2283,-20670,-647
2022-06-07,XAUUSD,897,-1782,-2549,300,2679,-2849
2022-05-31,XAUUSD,-12743,-1519,-772,-105,-11224,-667
2022-05-24,XAUUSD,-809,-9262,-3177,208,8453,-3385
2022-05-17,XAUUSD,-5936,12019,-1510,1412,-17955,-2922
2022-05-10,XAUUSD,-4492,1361,828,-929,-5853,1757
2022-05-03,XAUUSD,-17072,1784,332,-1082,-18856,1414
2022-04-26,XAUUSD,-20234,1499,-4094,404,-21733,-4498
2022-04-19,XAUUSD,-7419,7111,-232,-2194,-14530,1962
2022-04-12,XAUUSD,13594,4848,3486,2897,8746,589
2022-04-05,XAUUSD,-3062,8993,2756,-2120,-12055,4876
2022-03-29,XAUUSD,-1028,-10592,-4419,803,9564,-5222
2022-03-22,XAUUSD,-18071,-4315,-889,1201,-13756,-2090
2022-03-15,XAUUSD,-17887,-5287,-1634,-4729,-12600,3095
2022-03-08,XAUUSD,10441,-6325,5698,1327,16766,4371
2022-03-01,XAUUSD,4081,-10393,1176,-437,14474,1613
2022-02-22,XAUUSD,36827,7292,2401,1089,29535,1312
2022-02-15,XAUUSD,33710,6803,1820,1286,26907,534
2022-02-08,XAUUSD,3565,-10999,-1950,2522,14564,-4472
2022-02-01,XAUUSD,-37421,10588,-3850,-3455,-48009,-395
2022-01-25,XAUUSD,22887,-3057,3691,957,25944,2734
2022-01-18,XAUUSD,426,5956,-1345,-2870,-5530,1525
2022-01-11,XAUUSD,-6481,5137,2923,3690,-11618,-767
2022-01-04,XAUUSD,-7296,-5495,-5721,684,-1801,-6405
2021-12-28,XAUUSD,7251,-94,1870,-420,7345,2290
2021-12-21,XAUUSD,-1514,-4924,554,-654,3410,1208
2021-12-14,XAUUSD,-2376,12408,1339,767,-14784,572
2021-12-07,XAUUSD,-9735,-1060,-4299,6,-8675,-4305
2021-11-30,XAUUSD,-16156,-7605,-3723,-3043,-8551,-680
2021-11-23,XAUUSD,-34120,-8751,3326,-2338,-25369,5664
2021-11-16,XAUUSD,19418,9819,1960,-491,9599,2451
2021-11-09,XAUUSD,30020,-5032,4158,3598,35052,560
2021-11-02,XAUUSD,-2555,-3124,-1771,-1425,569,-346
2021-10-26,XAUUSD,13764,-7447,1513,2260,21211,-747
2021-10-19,XAUUSD,1379,-6431,2375,-1391,7810,3766
2021-10-12,XAUUSD,2564,-393,-198,-1153,2957,955
2021-10-05,XAUUSD,2125,-12058,-804,-172,14183,-632
2021-09-28,XAUUSD,-2856,16392,-815,2430,-19248,-3245
2021-09-21,XAUUSD,-10318,9795,-1461,33,-20113,-1494
2021-09-14,XAUUSD,971,-750,-2117,1161,1721,-3278
2021-09-07,XAUUSD,-4987,5524,5700,-107,-10511,5807
2021-08-31,XAUUSD,11920,6023,-1003,-940,5897,-63
2021-08-24,XAUUSD,14647,-4464,202,-1365,19111,1567
2021-08-17,XAUUSD,7177,-15959,-3170,1607,23136,-4777
2021-08-10,XAUUSD,4117,32046,-4106,3608,-27929,-7714
2021-08-03,XAUUSD,-545,2508,3511,-2012,-3053,5523
2021-07-27,XAUUSD,-3624,-7040,-1120,2030,3416,-3150
2021-07-20,XAUUSD,1769,-3367,-879,-3263,5136,2384
2021-07-13,XAUUSD,4998,-3017,151,1864,8015,-1713
2021-07-06,XAUUSD,16339,-4256,-1120,-131,20595,-989
2021-06-29,XAUUSD,1053,5041,-2104,1170,-3988,-3274
