Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
10,210,218,2019.421922,2012.9681965428767,2012.9681965428767,2033.0447267544205,-64.53725457123255,-0.0031958281658800436,2024-01-17 08:00:00,2024-01-17 16:00:00,sl,0 days 08:00:00,120
30,209,218,2020.822062,2014.3638619360283,2014.3638619360283,2045.9829052406117,-193.7460019191485,-0.0031958281658801546,2024-01-17 07:00:00,2024-01-17 16:00:00,sl,0 days 09:00:00,119
10,217,218,2022.5822380000002,2016.6251588091727,2016.6251588091727,2035.6156228130549,-59.570791908274714,-0.0029452840427977023,2024-01-17 15:00:00,2024-01-17 16:00:00,sl,0 days 01:00:00,126
89,218,219,2012.3312130000002,2010.0258023758545,2010.0258023758545,2031.1055143681049,-205.18154554896546,-0.001145641735939007,2024-01-17 16:00:00,2024-01-17 17:00:00,sl,0 days 01:00:00,127
73,219,220,2009.110891,2006.0780770258407,2006.0780770258407,2020.5829354769994,-221.39542011363278,-0.0015095304035954715,2024-01-17 17:00:00,2024-01-17 18:00:00,sl,0 days 01:00:00,128
144,220,222,2005.690549,2002.8993311759973,2002.8993311759973,2020.6020424702149,-401.9353666563766,-0.0013916492877699138,2024-01-17 18:00:00,2024-01-17 20:00:00,sl,0 days 02:00:00,129
67,221,222,2007.240704,2003.9379371504679,2003.9379371504679,2014.1298266961726,-221.28537891865676,-0.0016454264020007159,2024-01-17 19:00:00,2024-01-17 20:00:00,sl,0 days 01:00:00,130
66,222,228,2005.020482,2011.901984592744,2001.721368362365,2011.901984592744,454.1791711211058,0.0034321358083482245,2024-01-17 20:00:00,2024-01-18 03:00:00,tp,0 days 07:00:00,131
5,228,229,2011.8611660000001,2007.9315296813402,2007.9315296813402,2020.1646528075503,-19.648181593299796,-0.0019532343409525144,2024-01-18 03:00:00,2024-01-18 04:00:00,sl,0 days 01:00:00,136
5,229,239,2007.810761,2015.4199629768348,2003.856690277624,2015.4199629768348,38.046009884174055,0.0037898003759304633,2024-01-18 04:00:00,2024-01-18 14:00:00,tp,0 days 10:00:00,137
16,239,240,2015.2215019999999,2011.252836976912,2011.252836976912,2026.778183808794,-63.49864036940562,-0.0019693443222738027,2024-01-18 14:00:00,2024-01-18 15:00:00,sl,0 days 01:00:00,138
12,223,245,2005.690549,2018.4071981048146,2000.5439357480363,2018.4071981048146,152.59978925777614,0.00634028470202197,2024-01-17 21:00:00,2024-01-18 20:00:00,tp,0 days 23:00:00,132
12,224,245,2006.2406039999998,2018.9607406101163,2001.0925793038064,2018.9607406101163,152.64163932139763,0.00634028470202197,2024-01-17 22:00:00,2024-01-18 20:00:00,tp,0 days 22:00:00,133
12,225,245,2006.070587,2018.7896456539322,2000.9229985683864,2018.7896456539322,152.62870384718735,0.00634028470202197,2024-01-17 23:00:00,2024-01-18 20:00:00,tp,0 days 21:00:00,134
